Programme_Code,Programme_Title,Programme_Category,School,Department
WD_NGENN_PS,Doctor of Philosophy,27,Health Sciences,Nursing & Health Care
WD_NHEAL_D,Bachelor of Science in Applied Health Care,10,Health Sciences,Nursing & Health Care
WD_NMENH_B,BSc (H) in Int Disa Nursing,11,Health Sciences,Nursing & Health Care
WD_NMGTN_SP,Cert in Management for Nursing and Healthcare Professionals,23,Health Sciences,Nursing & Health Care
WD_NNURC_R,Master of Science in Nursing  (clinical),26,Health Sciences,Nursing & Health Care
WD_NNURS_MJ,MSc in Nursing,26,Health Sciences,Nursing & Health Care
WD_NNURS_MS,MSc in Nursing,26,Health Sciences,Nursing & Health Care
WD_NPCHP_SP,Cert in Respiratory Care Skills (ID),23,Health Sciences,Nursing & Health Care
WD_NPRAD_SP,Certificate in Pre-Admission Nursing,15,Health Sciences,Nursing & Health Care
WD_NPSYC_B,BSc (H) in Psych Nursing,11,Health Sciences,Nursing & Health Care
WD_NRESP_SP,Cert in Respiratory Care Skills (ID),23,Health Sciences,Nursing & Health Care
WD_NURCP_B,Bachelor of Science (H) in Clinical Practice Nursing,11,Health Sciences,Nursing & Health Care
WD_NWELL_SP,Cert in Management of Occupational Stress and Wellbeing,15,Health Sciences,Nursing & Health Care
WD_OHOSM_B,BA (H) in Hospitality Mgmt,11,Humanities,Arts
WD_OHOSP_C,HC in Arts Hospitality Studies,16,Humanities,Arts
WD_OREST_SP,Diploma in Restaurant Management,12,Humanities,Hospitality & Culinary Arts
WD_SAENG_X,International exchange Engineering,14,Engineering,Built Environment
WD_SAGRI_B,BSc (H) in Agricultural Science,11,Science & Computing,Land Sciences
WD_SAGUL_D,BSc in Agriculture,10,Science & Computing,Land Sciences
WD_SANSC_G,Postgraduate Diploma in Analytical Science with Quality Management,30,Science & Computing,Science
WD_SANSC_R,Master of Science in Analytical Science with Quality Management,25,Science & Computing,Science
WD_SBSAG_B,BSc (H) in Land Management (in Agriculture),11,Science & Computing,Land Sciences
WD_SBSFO_B,BSc (H) in Land Management  (in Forestry),11,Science & Computing,Land Sciences
WD_SBSHO_B,BSc (H) in Land Management (in Horticulture),11,Science & Computing,Land Sciences
WD_SCLSC_MJ,Masters of Science,26,Science & Computing,Science
WD_SCLSC_MS,Masters of Science,26,Science & Computing,Science
WD_SCLSC_P,PhD in Science,27,Science & Computing,Science
WD_SCLSC_PJ,PhD in Science,27,Science & Computing,Science
WD_SCLSC_PS,PhD in Science,27,Science & Computing,Science
WD_SCROP_MA,Certificate in Crop Management in Organic & Biological Agriculture,23,Science & Computing,Land Sciences
WD_SDATA_MA,Certificate in Statistics & Data design,23,Science & Computing,Computing & Mathematics
WD_SDESG_MA,Certificate in Landscape Design,15,Science & Computing,Land Sciences
WD_SDRUG_MA,Certificate in Advanced Drug Formulation Science,23,Science & Computing,Science
WD_SFDSC_D,BSc in Food Science with Business,10,Science & Computing,Land Sciences
WD_SFOHE_MA,"Certificate in Food, Health & Nutrition",23,Science & Computing,Land Sciences
WD_SFORS_D,BSc in Forestry,10,Science & Computing,Land Sciences
WD_SFSIN_B,BSc (H) in Food Science & Innovation,11,Science & Computing,Land Sciences
WD_SGARD_MA,Certificate in Garden Management,15,Science & Computing,Land Sciences
WD_SGMPT_C,Higher Certificate in Science in Good Manufacturing Practice and Technology,16,Science & Computing,Science
WD_SGMPT_D,Bachelor of Science in Good Manufacturing Practice and Technology,10,Science & Computing,Science
WD_SHORT_D,BSc in Horticulture,10,Science & Computing,Land Sciences
WD_SHORT_DX,BSc in Horticulture (Botanics),10,Science & Computing,Land Sciences
WD_SINTR_MA,Certificate in International Regulatory Affairs,23,Science & Computing,Science
WD_SLIVE_MA,Certificate in Livestock Management in Organic & Biological Agriculture,23,Science & Computing,Land Sciences
WD_SMBIO_B,BSc (H) Molecular Biology,11,Science & Computing,Science
WD_SMBIO_D,BSc in Molecular Biology with Biopharmaceutical Science,10,Science & Computing,Science
WD_SNUST_MA,Certificate in Nursery Stock Production,15,Science & Computing,Land Sciences
WD_SOBIA_G,Postgrad Dip in Science in Organic & Biological Agriculture,30,Science & Computing,Land Sciences
WD_SOBIA_R,Master of Science in Organic and Biological Agriculture,25,Science & Computing,Land Sciences
WD_SOCER_X,Socrates Programme,14,Other (Socrates),Excluded
WD_SPHSC_B,BSc (H) in Pharmaceutical Science,11,Science & Computing,Science
WD_SPHSC_D,BSc in Pharmaceutical Science,10,Science & Computing,Science
WD_SQUAL_MA,Certificate in Strategic Quality Management,23,Science & Computing,Science
WD_SSCCM_B,Bachelor of Science (Honours) (Common Entry),11,Science & Computing,Science
WD_SSCIE_D,Bachelor of Science (Common Entry),10,Science & Computing,Science
WD_SSOIL_MA,Certificate in Soil Health and Water Management,23,Science & Computing,Land Sciences
WD_TCAMF_B,BSc (H) in Manufacturing Engin,11,Engineering,Technology
